Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0805,2,10uF,
"C10, C9",0805,2,18pF,
"C3, C6, C7, C8",0805,4,100n,
"C4, C5",0805,2,22pF,
D1,LED_D3.0mm,1,LED,
F1,0805,1,0.75A,
J1,USB-A 629104190121,1,USB-A 629104190121,
J2,PinHeader_1x04_P2.54mm_Horizontal,1,Debug,
"R1, R8, R9",0805,3,2K2,
"R2, R3",0805,2,33,
"R4, R5, R6",0805,3,10k,
R7,0805,1,100,
SW1,SW_PTS525SM15SMTR2LFS,1,Reset,
U1,DIP-16_W7.62mm_Socket_LongPads,1,MAINBOARD (OUT),
U2,DIP-16_W7.62mm_Socket_LongPads,1,KEYBOARD (IN),
"U3, U4",SOIC-16_3.9x9.9mm_P1.27mm,2,74x257,
U5,SOIC-16_3.9x9.9mm_P1.27mm,1,74x4050,
U6,TQFP-32_7x7mm_P0.8mm,1,ATMEGA328-TQFP,
U7,max3421-TQFP,1,USB-Host Controller,
U8,SOT-23,1,MCP1700x-3V3,
Y1,FA238,1,12Mhz,
Y2,FA238,1,16Mhz,
